40 4222 14710
1 153     3.586740e+01 5.386071e+02
38 153     2.434048e+01 5.581664e+02
1 154     3.998576e+01 5.410551e+02
38 154     3.143722e+01 5.620942e+02
1 155     3.315771e+01 5.425816e+02
3 155     6.588936e+01 5.267378e+02
1 156     3.715062e+01 5.449774e+02
2 156     5.192397e+01 5.376523e+02
1 157     3.657520e+01 8.386021e+02
2 157     2.773166e+01 8.265999e+02
38 157     7.163155e+01 8.624452e+02
39 157     5.186071e+01 8.505590e+02
1 158     3.207090e+02 8.860389e+02
3 158     3.492807e+02 1.884939e+02
4 158     3.117051e+02 1.876988e+02
38 158     4.149905e+02 8.791551e+02
39 158     3.700320e+02 8.834059e+02
40 158     4.359437e+02 8.617881e+02
1 159     5.184792e+02 2.187534e+02
39 159     5.077260e+02 1.900729e+02
1 160     4.409575e+02 4.095241e+02
2 160     3.713827e+02 4.098055e+02
3 160     2.983699e+02 4.072515e+02
2 161     3.745521e+02 3.409067e+02
4 161     2.738303e+02 3.386443e+02
5 161     2.314668e+02 3.194684e+02
39 161     4.550587e+02 3.567959e+02
2 162     3.606057e+02 2.407088e+02
3 162     3.197668e+02 2.407172e+02
4 162     2.838065e+02 2.398809e+02
5 162     2.463683e+02 2.364783e+02
38 162     4.921310e+02 2.371410e+02
39 162     4.539859e+02 2.388054e+02
2 163     1.677486e+02 5.675665e+02
3 163     1.472328e+02 5.764899e+02
39 163     1.475200e+02 5.830090e+02
2 164     5.776208e+02 3.363288e+02
3 164     5.323340e+02 3.338380e+02
4 164     4.910809e+02 3.334131e+02
5 164     4.462236e+02 3.471967e+02
38 164     6.749589e+02 3.334702e+02
39 164     6.476918e+02 3.419939e+02
2 165     5.899025e+02 5.084179e+02
3 165     5.344476e+02 5.233818e+02
2 166     1.483370e+02 7.025999e+02
3 166     1.334794e+02 6.922178e+02
38 166     1.989159e+02 7.225811e+02
39 166     1.808317e+02 7.160520e+02
40 166     2.156049e+02 7.274641e+02
2 167     3.685222e+02 7.534734e+02
3 167     3.122538e+02 7.583154e+02
2 168     4.445907e+02 1.794997e+02
3 168     3.938954e+02 1.743272e+02
5 168     2.973132e+02 1.684399e+02
38 168     5.531926e+02 1.788917e+02
40 168     5.792034e+02 1.727771e+02
2 169     1.270556e+02 8.319396e+02
38 169     2.076166e+02 8.625728e+02
39 169     1.737510e+02 8.541761e+02
40 169     2.379809e+02 8.674084e+02
2 170     4.519932e+02 3.377371e+02
3 170     4.055060e+02 3.380264e+02
4 170     3.416098e+02 3.363148e+02
40 170     5.969808e+02 3.219552e+02
2 171     2.477807e+02 1.861862e+02
5 171     1.314245e+02 1.996646e+02
2 172     5.141237e+02 4.541758e+02
3 172     4.565054e+02 4.483797e+02
39 172     6.211153e+02 4.372545e+02
2 173     3.775037e+02 3.334425e+02
3 173     3.123791e+02 3.309869e+02
4 173     2.447777e+02 3.264985e+02
39 173     5.047522e+02 3.305244e+02
2 174     4.024118e+02 6.510821e+02
3 174     3.717481e+02 6.428003e+02
38 174     5.169301e+02 6.256785e+02
39 174     4.863177e+02 6.324826e+02
2 175     3.261981e+02 8.801158e+02
3 175     2.821328e+02 8.788669e+02
4 175     2.389609e+02 8.747499e+02
2 176     4.218695e+02 4.080383e+02
3 176     3.486893e+02 4.064592e+02
39 176     5.583564e+02 4.010604e+02
2 177     3.252430e+02 7.000647e+02
3 177     2.864438e+02 7.065461e+02
39 177     4.160883e+02 6.918118e+02
2 178     2.551572e+02 9.210414e+02
3 178     1.974156e+02 9.171276e+02
4 178     1.411578e+02 9.098311e+02
39 178     3.666437e+02 9.204793e+02
2 179     4.258047e+02 9.207211e+02
3 179     3.761998e+02 9.262125e+02
4 179     3.214359e+02 9.278509e+02
38 179     5.505433e+02 8.918771e+02
39 179     5.130848e+02 9.032936e+02
2 180     3.299260e+02 9.383046e+02
3 180     2.782827e+02 9.436486e+02
4 180     2.261397e+02 9.443232e+02
39 180     4.323251e+02 9.295571e+02
2 181     2.453168e+02 8.576589e+02
3 181     1.997931e+02 8.567152e+02
4 181     1.551438e+02 8.509105e+02
